export,config,model,effort,run,level,prompt_id,prompt,chat_id,path,kind,created_by,writes,edits,final_lines,final_chars
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,f9fbd3ca-47f8-4716-9453-ec85f3d90474,/home/claude/pourbaix/build_html.py,code,bash heredoc,1,0,287,19473
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,f9fbd3ca-47f8-4716-9453-ec85f3d90474,/home/claude/pourbaix/geom.py,code,bash heredoc,1,0,81,3248
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,f9fbd3ca-47f8-4716-9453-ec85f3d90474,/home/claude/pourbaix/keys.py,code,bash heredoc,1,0,48,2176
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,f9fbd3ca-47f8-4716-9453-ec85f3d90474,/home/claude/pourbaix/model.py,code,bash heredoc,1,0,89,4233
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,6737aedc-d8be-41a3-8988-a7ee9af3352e,/home/claude/pb/pb.py,code,bash heredoc,1,0,91,4639
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,6b25b09e-7059-4285-adff-89be267d42df,/home/claude/pourbaix_cu_nh3.py,code,create_file,1,0,286,14336
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,f8b0d59c-8189-45ea-8247-c11e9ba9180d,/home/claude/pourbaix.py,code,bash heredoc,1,0,104,4985
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_4,L1_4 Fe(III) speciation with EDTA versus citrate buffering,7012f212-cd2d-444f-bd97-b31e1faef6ee,/home/claude/fe_spec.py,code,bash heredoc,1,0,115,4562
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_9,L1_9 Copper speciation diagram with ammonia,e6b065d5-f62d-4719-b981-a08f61ce39ed,/home/claude/cu_nh3_speciation.py,code,create_file,1,0,292,12221
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_9,L1_9 Copper speciation diagram with ammonia,f160436f-619a-4ea1-b645-d4eb3bec4fb2,/home/claude/cu/spec.py,code,bash heredoc,1,0,98,4717
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/analyze.py,code,bash heredoc,1,0,81,3713
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/dbg.py,code,bash heredoc,1,0,10,644
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/dbg2.py,code,bash heredoc,1,0,16,604
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/inventory.py,code,bash heredoc,1,0,17,896
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/partition.py,code,bash heredoc,1,0,18,1096
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/plot.py,code,create_file,1,0,112,5277
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/plot2.py,code,create_file,1,0,175,7761
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/pourbaix.py,code,create_file,1,1,259,11604
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/run_grid.py,code,bash heredoc,1,0,53,2607
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,/home/claude/test_points.py,code,bash heredoc,1,0,14,834
